ds,y
1971,97.40715802
1972,100.0037793
1973,100.4063893
1974,103.8358548
1975,114.4815194
1976,124.1584755
1977,126.3968338
1978,136.1689781
1979,136.0898643
1980,142.1397322
1981,152.4150364
1982,158.7655619
1983,166.4877721
1984,184.2481223
1985,194.5562834
1986,209.0442303
1987,221.291445
1988,241.1021277
1989,258.0419364
1990,272.9466472
1991,291.6625282
1992,305.0131285
1993,320.9149714
1994,341.3540525
1995,358.6295603
1996,359.4810859
1997,374.9474116
1998,385.1269668
1999,391.1196337
2000,392.5101757
2001,392.3609036
2002,408.7769006
2003,428.2132845
2004,448.9720155
2005,465.1766773
2006,506.2225086
2007,538.7865959
2008,558.4267535
2009,595.6056558
2010,637.1258442
2011,692.779357
2012,718.2959462
2013,914
2014,957
2015,1010
2016,1075
2017,1122
2018,1149
2019,1181
2020,1208
2021,1161
2022,1255
2023,1331
