"ds","Forecast","Lower95","Upper95"
2024,1084.288295607,798.501435679541,1370.07515553446
2025,1106.61728929146,820.242994294142,1392.99158428878
2026,1128.94628297591,841.96446045896,1415.92810549287
2027,1151.27527666037,863.665961499988,1438.88459182074
2028,1173.60427034482,885.347627800682,1461.86091288895
2029,1195.93326402927,907.00959267896,1484.85693537958
2030,1218.26225771372,928.651992263421,1507.87252316402
2031,1240.59125139817,950.274965369,1530.90753742735
2032,1262.92024508263,971.878653372299,1553.96183679295
2033,1285.24923876708,993.463200086823,1577.03527744734
2034,1307.57823245154,1015.02875163833,1600.12771326475
2035,1329.90722613599,1036.57545634047,1623.23899593151
