"ds","yhat","yhat_lower","yhat_upper","trend"
1971-01-01,66.3639122033359,26.0374702282793,107.884396408476,-100.648375088797
1972-01-01,74.2774667847817,29.5232282087366,116.821286291737,-90.513726504543
1973-01-01,84.3960233607978,41.2508316351787,126.752567753974,-80.3513117597838
1974-01-01,96.7803624381545,50.9065233448864,140.125213676329,-70.2166631792276
1975-01-01,106.930272670845,62.677715785438,148.145523454613,-60.0820146212878
1976-01-01,114.843827225978,74.2369125018725,158.904053871224,-49.9473660633479
1977-01-01,124.962383830319,81.5185943440345,170.252571879669,-39.7849512902635
1978-01-01,137.34672293962,95.0851163042593,178.676131707936,-29.6503026777612
1979-01-01,147.496633281094,102.889943022342,192.378134958007,-19.5156540110392
1980-01-01,155.410644558097,111.021924911777,198.857753588611,-9.38054873122635
1981-01-01,165.529659080893,121.716399247774,211.127665727592,0.782323960312017
1982-01-01,177.918130093366,136.219085322059,218.24597031544,10.9211044759853
1983-01-01,188.080395487234,144.559420755779,231.397630936145,21.0681081951007
1984-01-01,196.006305203537,155.606534775089,240.041077858318,31.2151119142161
1985-01-01,208.607685452169,166.07109989269,253.801529930618,43.8603503315853
1986-01-01,223.468064534596,181.242330514973,264.682244614684,56.4710389172131
1987-01-01,236.104567498598,192.059616399797,278.661494242845,69.0922802064673
1988-01-01,246.549416893592,201.584401449667,291.324717914749,81.7582236042686
1989-01-01,259.206203337433,216.60494801819,303.001640088899,94.4588682168583
1990-01-01,274.12556467727,228.671465248108,319.255763769144,107.128539059888
1991-01-01,286.81049719505,242.840251956044,333.358296067934,119.798209902918
1992-01-01,297.267170443258,256.463168619125,338.967347797897,132.475977153938
1993-01-01,309.937430648211,264.929104279345,356.06482724696,145.190095527623
1994-01-01,324.866501490344,281.893000779431,369.005215224182,157.869475872964
1995-01-01,337.563242168355,296.71021797071,380.682677491057,170.550954876226
1996-01-01,348.023627168802,305.765206351911,391.178186065669,183.232433879487
1997-01-01,360.697776745592,319.431926151461,406.34660394925,195.950441625003
1998-01-01,375.632300010901,331.414993311226,420.167048298581,208.635274393516
1999-01-01,388.332394454161,345.403383485338,430.530515358665,221.32010716203
2000-01-01,398.797997969854,357.283215026871,441.655679550146,234.006804680549
2001-01-01,411.475595395053,366.938189702119,453.861596551348,246.728260274461
2002-01-01,426.42922215948,383.045117606824,472.172565851155,259.432196542097
2003-01-01,439.151215504812,395.098777306873,484.246179860314,272.13892821268
2004-01-01,449.636853172577,402.715809546772,491.337926331572,284.845659883263
2005-01-01,464.302300111639,421.525220751279,503.043096172749,299.554964991029
2006-01-01,507.976007706299,462.836597118398,547.929521630614,340.97898208892
2007-01-01,549.415286478947,506.067284169588,590.485159993446,382.402999186812
2008-01-01,597.001333820595,555.662903615345,640.779163606727,432.210140531278
2009-01-01,646.901074917814,605.593915881237,689.678837251945,482.153739797236
2010-01-01,698.979413096906,656.701797035463,744.190336522367,531.982387479525
2011-01-01,748.825421348685,704.567073943896,792.50859097616,581.81313405656
2012-01-01,796.435073922912,754.340996710031,837.527998620288,631.643880633595
2013-01-01,846.358484928492,800.321179836868,888.525450219476,681.611149807925
2014-01-01,898.438922006271,853.489162138572,942.079679992394,731.441896388881
2015-01-01,948.284930261966,904.501617624317,989.741905779877,781.272642969838
2016-01-01,995.894582840109,954.689823334533,1037.46220363993,831.103389550794
2017-01-01,1045.8179938457,1001.52324565818,1089.25965610968,881.070658725123
2018-01-01,1097.89843092346,1054.31237601312,1140.75427853197,930.90140530608
2019-01-01,1147.74443917917,1104.63769456741,1189.3323640616,980.732151887036
2020-01-01,1195.35409175731,1153.73717599182,1238.1307981435,1030.56289846799
2021-01-01,1245.27750276292,1200.90162935087,1289.55254576973,1080.53016764232
2022-01-01,1297.35793984066,1256.27663861095,1341.33139720184,1130.36091422328
2023-01-01,1347.20394809636,1301.91600571566,1389.60749029746,1180.19166080423
2024-01-01,1394.8136006745,1353.00565933378,1436.39839307545,1230.02240738519
2025-01-01,1444.73701168008,1402.97050515298,1489.10411479238,1279.98967655952
2026-01-01,1496.81744875786,1453.09814014928,1538.91122502985,1329.82042314048
2027-01-01,1546.66345701357,1502.75618962256,1588.40808414319,1379.65116972143
2028-01-01,1594.27310959171,1550.46992552743,1640.82237130022,1429.48191630239
2029-01-01,1644.19652059731,1598.02804573137,1689.85209702985,1479.44918547672
2030-01-01,1696.27695767505,1648.98325690361,1747.45203867946,1529.27993205768
2031-01-01,1746.12296593076,1692.97456171598,1797.74576304571,1579.11067863863
2032-01-01,1793.73261850891,1741.34927026627,1846.82767726074,1628.94142521959
2033-01-01,1843.65602951453,1788.9434184005,1898.58280324031,1678.90869439392
2034-01-01,1895.73646659226,1838.08764235891,1950.56647155048,1728.73944097487
2035-01-01,1945.58247484797,1879.13499918888,2005.30491980761,1778.57018755583
